Which Sport has had the most films Made about it,Boxing
Which book in 98 criticized Diana and was disapproved of by the royals,Penny Junor
How Many Members Are there in Blazing Squad,10
Which Character has been portrayed in more films than any other,Sherlock Holmes
Which American state ends in 3 vowels,Hawaii
What does the Acronym ASDA stand for,Associated Dairies
What Nut is used to flavour amaretto liquer,Almonds
What Breed Of Dog was named after the state of Mexico,Chihuahua
What would a French secretary call a paperclip,Trombone
What Do Teletubbies Eat,Tubby Toast & Pink Custard
Who Was The First Ever James Bond,Bob Holness
What Nick Name Is Given to the American State Of Georgia,The Peach State
What Country Is Known By The Roman Name Cambria?,Wales
"Which Girl Band , Made There Big Screen Debut In Honest",All Saints
How Was Euro Tunnel known Before Its Name Changed in 1998,Le Shuttle
Quick Draw McGraw Was What Type Of Cartoon Creature,Horse
"What Can Be a 5 card game , a smooth woolly surface or a sleep",A Nap
When Was Exchange & Mart First Published,1869
Which Caroline presented The Mrs Merton Show,Aherne
What is the most common book stolen from public libraries,The Guiness Book Of Records
Which Animal Appeared on Brittish eggs in 1957,Lion
Where does a Steiff Teddy Bear have its tag of Authenticity,It's Ear
Which Toy Was Invented by Danes Ole & GodFred Christiansen,Lego
"Which creatures name can go in front Of Crab, Plant, Wasp & Monkey",Spider
What was the first ladies magazine to be published in 1693,The Ladies Mercury
What was the Traingular trade mainly concerned with,Slaves
Which word meaning guilty has passed out of common use although it's opposite is still in everyday use today,Nocent
What Does The Acronym Sonar stand for,Sound Navigation And Ranging
What Nationality was Erno Rubik the inventor of the 80's Craze the Rubiks Cube,Hungarian
Which Country Consumes The Most Coca Cola,Iceland
Write Down The Shortest Possible Sentence In The English Language,I Am
What is the strongest muscle in the Human Body,The Tongue
How Often Does Halley's Comet Return,Every 76 Years
What Morse Code Letter Is Dot Dash,The Letter ”A”
What Does A Gymnophobic fear?,Nudity
Who Said & I Quote “There Will Never Be A Woman Prime Minister In My LifeTime”,Margaret Thatcher
Which country does the airline LOT come from?,Poland
Who is the elder-Dawn French or Jennifer Saunders?,Dawn French
Whats another name for Hypertension?,High blood pressure
Who played Blanco in the Tv series Porridge?,David Jason
Which DJ became known as Fluff?,Alan Freeman
Why did they ban Donald duck in Finland ?,Because the character is nude
Who had a top twenty hit in 1990 with “No more Mr nice guy”?,Megadeath
What is the name of morks home planet?,Ork
Which is the smallest mammal in Europe ?,Pygmy shrew
Who is Eric Twinge better known as?,Banana man
In Which Royal Residence Did Queen Victoria Die,Osbourne House
Who Was The Dutch Footballer Dennis Bergkamp Named After,Dennis Law
Which film Featured The Joe Cocker Hit Song “Up Where We Belong”,An Officer & A Gentleman
Which Is Further South Cardiff Or Oxford,Cardiff
Before Sir Winston Churchill Went Bald What Colour Was His Hair,Ginger/Red
In the nursery rhyme what is Tuesdays child,Full of grace
What is the Hedgehog called in the tales of beatrix potter,Mrs TiggyWinkle
What kind of creatures are rocky & bullwinkle,A Moose And A Flying Squirrel
What are the Christian names of the famous ice skaters torvil & dean,Jayne & Christopher
Which drink did the coca cola company launched in 1982,Diet Coke
What is Madonnas surname?,Ciccone
Who was the first female presenter of the national lottery?,Anthea Turner
Which two numbers go with the Rover car launched in 1999?,75
What is measured by a Pedometer?,Walking distance
What do XL stand for in Roman numerals?,Forty
What is Jennifer Anistons real name?,Jennifer Linn Anastassakis
What was David Boreanaz first acting role?,Married with children
Who owns the Ritz in Paris ?,Mohammad al-fayed
What is pickled gherkin made from?,Cucumber
Which motorway links London to Leeds ?,M1
The Pulitzer Prize is awarded in which three categories? (Point For Each),"Journalism, Literature & music"
Which darts player is know as Barney Rubble?,Raymond van Barnsveld
Lulu sang the title for which James Bond film?,The man with a golden gun
What was the name of the first test tube baby?,Louise Brown
Which film star Paul promotes his own salad dressing?,Newman
How is Jack Dawkins better known in a Dickens novel?,The Artful Dodger
Which Princes childhood nickname was JAWS?,Prince Edward
Who had larger feet Marilyn Monroe or Daryl Hannah?,Daryl Hannah
What sequel starts at the pictures this week starring Catherine Zeta Jones?,Oceans 12
Fluck & Law were famous for their puppets on which show?,Spitting Image
Where In England Was Rowan Atkinson Born,NewCastle Upon Tyne
Which Country Does The Airline Avianca Come From,Columbia
What Is Rupert Murdoch's Real First Name,Keith
Where On Your Body Would You Wear A Cummberbund,Around Your Waist
In Which Country Did The Rumba Originate,Cuba
If you bought something in a White Sale What Would You Be Buying,House Hold Linen
In Miles How Long Is The London Marathon,26 Miles
Which Country Is Immediately South Of Belgium,France
On Which Island Is Napoleon Buried,St Helena
Which Scottish City Has The Largest population,Glasgow
Which Motorway Is Often Reffered To As Londons Car Park,The M25
What Originally Came In (8 inch) then (5 and a quarter inch) and then (3 and a half inch),Floppy Disks
What Is A Tabor,A Small Drum
What Is The Capital Of Tasmania,Hobart
What was the first uk number one to be sung in Spanish,Begin The Beguine
How Is 1600 Pensylvania Ave Better Known,The White House
What is the name of the 6th book in the chronicals of narnia,The Silver chair
